group	go_term	n_genes_in_term	overlap	group_size	pvalue	fdr
Q4_clip_high_te_down	gene_type:processed_pseudogene	2504	963	4294	6.165514141912804e-104	5.9188935762362925e-102
Q3_clip_low_te_down	gene_type:protein_coding	14705	4618	5734	2.905200481146347e-74	1.3944962309502468e-72
Q2_clip_low_te_up	gene_type:lncRNA	1899	250	881	6.774007685685873e-63	2.1676824594194794e-61
Q1_clip_high_te_up	gene_type:processed_pseudogene	2504	285	1410	3.709760693906862e-19	8.90342566537647e-18
Q1_clip_high_te_up	gene_type:TEC	877	112	1410	9.723720592984624e-11	1.8669543538530476e-09
Q1_clip_high_te_up	gene_type:snRNA	39	16	1410	1.8429390735445728e-09	2.9487025176713164e-08
Q1_clip_high_te_up	gene_type:snoRNA	72	19	1410	2.4386401902726126e-07	3.3444208323738684e-06
Q1_clip_high_te_up	gene_type:Mt_tRNA	20	9	1410	2.7564829414952102e-06	3.307779529794253e-05
Q2_clip_low_te_up	gene_type:TEC	877	65	881	1.2378003675332109e-05	0.00013203203920354248
Q2_clip_low_te_up	gene_type:miRNA	41	9	881	4.7679491786189695e-05	0.00045772312114742103
Q4_clip_high_te_down	gene_type:transcribed_processed_pseudogene	129	43	4294	0.0006640108735851819	0.005795003987652496
Q4_clip_high_te_down	gene_type:snoRNA	72	27	4294	0.0008940707289833134	0.007152565831866508
Q4_clip_high_te_down	gene_type:TEC	877	216	4294	0.0035206394152772764	0.02599856798973989
Q1_clip_high_te_up	gene_type:Mt_rRNA	2	2	1410	0.004703279544419305	0.03225105973316095
Q1_clip_high_te_up	gene_type:unprocessed_pseudogene	99	13	1410	0.01767169250910553	0.1130988320582754
Q4_clip_high_te_down	gene_type:rRNA	35	13	4294	0.020067194305562853	0.12040316583337712
Q2_clip_low_te_up	gene_type:transcribed_unprocessed_pseudogene	66	7	881	0.022550261120506402	0.1273426510334479
Q1_clip_high_te_up	gene_type:transcribed_processed_pseudogene	129	15	1410	0.03108054837359331	0.1657629246591643
Q1_clip_high_te_up	gene_type:lncRNA	1899	150	1410	0.035355673266904704	0.178639191243308
Q2_clip_low_te_up	gene_type:IG_C_gene	1	1	881	0.042864788595338876	0.20575098525762658
Q2_clip_low_te_up	gene_type:processed_pseudogene	2504	124	881	0.04639947650508096	0.21211189259465582
Q2_clip_low_te_up	gene_type:pseudogene	9	2	881	0.05408389484983394	0.23600245025382083
Q1_clip_high_te_up	gene_type:rRNA	35	5	1410	0.08860020599091296	0.36980955544033234
Q2_clip_low_te_up	gene_type:ribozyme	3	1	881	0.12316668710688017	0.4926667484275207
Q1_clip_high_te_up	gene_type:miRNA	41	5	1410	0.147340464469154	0.5657873835615513
Q2_clip_low_te_up	gene_type:transcribed_processed_pseudogene	129	8	881	0.18951621799196366	0.6997521895087889
Q3_clip_low_te_down	gene_type:transcribed_unitary_pseudogene	12	5	5734	0.22291080891896475	0.7722334570768608
Q4_clip_high_te_down	gene_type:misc_RNA	12	4	4294	0.229606464222342	0.7722334570768608
Q2_clip_low_te_up	gene_type:snRNA	39	3	881	0.23327885682530167	0.7722334570768608
Q1_clip_high_te_up	gene_type:unitary_pseudogene	4	1	1410	0.2474596882640039	0.7918710024448126
Q2_clip_low_te_up	gene_type:scaRNA	8	1	881	0.2956965034497821	0.896001874518008
