group	go_term	n_genes_in_term	overlap	group_size	pvalue	fdr
Q4_clip_high_te_down	gene_type:processed_pseudogene	2504	963	4294	6.165514141912804e-104	5.918893576236293e-102
Q3_clip_low_te_down	gene_type:protein_coding	14705	4618	5734	2.905200481146347e-74	1.3944962309502468e-72
Q2_clip_low_te_up	gene_type:lncRNA	1899	250	881	6.774007685685873e-63	2.1676824594194794e-61
Q1_clip_high_te_up	gene_type:processed_pseudogene	2504	285	1410	3.709760693906862e-19	8.90342566537647e-18
Q1_clip_high_te_up	gene_type:TEC	877	112	1410	9.723720592984624e-11	1.8669543538530476e-09
Q1_clip_high_te_up	gene_type:snRNA	39	16	1410	1.8429390735445726e-09	2.9487025176713164e-08
Q1_clip_high_te_up	gene_type:snoRNA	72	19	1410	2.438640190272613e-07	3.3444208323738684e-06
Q1_clip_high_te_up	gene_type:Mt_tRNA	20	9	1410	2.7564829414952102e-06	3.307779529794253e-05
Q2_clip_low_te_up	gene_type:TEC	877	65	881	1.2378003675332109e-05	0.0001320320392035
Q2_clip_low_te_up	gene_type:miRNA	41	9	881	4.7679491786189695e-05	0.0004577231211474
Q4_clip_high_te_down	gene_type:transcribed_processed_pseudogene	129	43	4294	0.0006640108735851	0.0057950039876524
Q4_clip_high_te_down	gene_type:snoRNA	72	27	4294	0.0008940707289833	0.0071525658318665
