gene_id	gene_name	gene_type	chrom	start	end	strand	clip_count	rpf_siLuc	rpf_siLin28a	rna_siLuc	rna_siLin28a
ENSMUSG00000000001.5	Gnai3	protein_coding	chr3	108014596	108053462	-	1981	652	341	1817	1491
ENSMUSG00000000028.16	Cdc45	protein_coding	chr16	18599197	18630737	-	509	394	222	955	1031
ENSMUSG00000000031.17	H19	lncRNA	chr7	142129266	142131880	-	853	0	5	151	205
ENSMUSG00000000037.18	Scml2	protein_coding	chrX	159865521	160041209	+	67	11	7	86	87
ENSMUSG00000000056.8	Narf	protein_coding	chr11	121128079	121146682	+	237	179	133	383	457
ENSMUSG00000000078.8	Klf6	protein_coding	chr13	5911481	5920393	+	600	149	128	435	462
ENSMUSG00000000085.17	Scmh1	protein_coding	chr4	120262478	120387383	+	102	86	39	120	196
ENSMUSG00000000088.8	Cox5a	protein_coding	chr9	57428557	57439709	+	955	2279	2450	730	1139
ENSMUSG00000000093.7	Tbx2	protein_coding	chr11	85723377	85732774	+	0	1	2	1	10
ENSMUSG00000000094.13	Tbx4	protein_coding	chr11	85777248	85806923	+	16	2	3	6	7
ENSMUSG00000000120.7	Ngfr	protein_coding	chr11	95459644	95478561	-	449	1085	1989	425	1259
ENSMUSG00000000125.6	Wnt3	protein_coding	chr11	103664976	103708783	+	2	3	3	4	3
ENSMUSG00000000126.12	Wnt9a	protein_coding	chr11	59197754	59224378	+	14	3	9	6	7
ENSMUSG00000000127.16	Fer	protein_coding	chr17	64170057	64446491	+	427	231	109	494	493
ENSMUSG00000000131.16	Xpo6	protein_coding	chr7	125700887	125799673	-	940	607	526	1849	2557
ENSMUSG00000000134.18	Tfe3	protein_coding	chrX	7628799	7641441	+	406	767	429	772	964
ENSMUSG00000000142.16	Axin2	protein_coding	chr11	108811175	108841609	+	132	92	47	146	269
ENSMUSG00000000148.18	Brat1	protein_coding	chr5	140690766	140705134	+	71	230	138	262	467
ENSMUSG00000000149.11	Gna12	protein_coding	chr5	140744163	140816186	-	244	56	38	497	612
ENSMUSG00000000154.17	Slc22a18	protein_coding	chr7	143027473	143053071	+	8	80	99	21	39
ENSMUSG00000000167.15	Pih1d2	protein_coding	chr9	50528621	50536300	+	24	21	12	16	29
ENSMUSG00000000168.11	Dlat	protein_coding	chr9	50545933	50571080	-	640	1292	632	1225	1162
ENSMUSG00000000171.6	Sdhd	protein_coding	chr9	50507657	50515112	-	1175	1604	1466	915	1409
