gene_id	gene_name	gene_type	chrom	start	end	strand	clip_count	rpf_siLuc	rpf_siLin28a	rna_siLuc	rna_siLin28a	clip_enrichment_log2	te_change_log2	group
ENSMUSG00000000001.5	Gnai3	protein_coding	chr3	108014596	108053462	-	1981	652	341	1817	1491	0.48251816682835597	-0.6479820027216635	other
ENSMUSG00000000028.16	Cdc45	protein_coding	chr16	18599197	18630737	-	509	394	222	955	1031	-0.7403561833669801	-0.9351693905866661	Q3_clip_low_te_down
ENSMUSG00000000031.17	H19	lncRNA	chr7	142129266	142131880	-	853	0	5	151	205	2.476668903692682	2.1463894869815237	Q1_clip_high_te_up
ENSMUSG00000000037.18	Scml2	protein_coding	chrX	159865521	160041209	+	67	11	7	86	87	-0.14135584924554137	-0.601450623509725	other
ENSMUSG00000000056.8	Narf	protein_coding	chr11	121128079	121146682	+	237	179	133	383	457	-0.6004662384220045	-0.6800051932476899	Q3_clip_low_te_down
ENSMUSG00000000078.8	Klf6	protein_coding	chr13	5911481	5920393	+	600	149	128	435	462	0.6414362965331861	-0.30427549355593686	Q4_clip_high_te_down
ENSMUSG00000000085.17	Scmh1	protein_coding	chr4	120262478	120387383	+	102	86	39	120	196	-0.40399000676468905	-1.8242039831431478	other
ENSMUSG00000000088.8	Cox5a	protein_coding	chr9	57428557	57439709	+	955	2279	2450	730	1139	0.25366538607641237	-0.5367538532849311	other
ENSMUSG00000000093.7	Tbx2	protein_coding	chr11	85723377	85732774	+	0	1	2	1	10	-2.478047296804644	-1.8744691179161412	Q3_clip_low_te_down
ENSMUSG00000000094.13	Tbx4	protein_coding	chr11	85777248	85806923	+	16	2	3	6	7	1.4029646669782687	0.22239242133644802	other
ENSMUSG00000000120.7	Ngfr	protein_coding	chr11	95459644	95478561	-	449	1085	1989	425	1259	-0.6832152083885973	-0.6907540705347912	Q3_clip_low_te_down
ENSMUSG00000000125.6	Wnt3	protein_coding	chr11	103664976	103708783	+	2	3	3	4	3	-0.36257007938470825	0.32192809488736235	other
ENSMUSG00000000126.12	Wnt9a	protein_coding	chr11	59197754	59224378	+	14	3	9	6	7	1.222392421336448	1.1292830169449664	Q1_clip_high_te_up
ENSMUSG00000000127.16	Fer	protein_coding	chr17	64170057	64446491	+	427	231	109	494	493	0.014032696978484294	-1.0737037982206183	other
ENSMUSG00000000131.16	Xpo6	protein_coding	chr7	125700887	125799673	-	940	607	526	1849	2557	-1.005465174506173	-0.6737593552843334	Q3_clip_low_te_down
ENSMUSG00000000134.18	Tfe3	protein_coding	chrX	7628799	7641441	+	406	767	429	772	964	-0.8719349612117052	-1.1568301793622913	Q3_clip_low_te_down
ENSMUSG00000000142.16	Axin2	protein_coding	chr11	108811175	108841609	+	132	92	47	146	269	-0.4262287166070259	-1.8313395626013416	other
ENSMUSG00000000148.18	Brat1	protein_coding	chr5	140690766	140705134	+	71	230	138	262	467	-2.121410173173677	-1.5642536989836524	Q3_clip_low_te_down
ENSMUSG00000000149.11	Gna12	protein_coding	chr5	140744163	140816186	-	244	56	38	497	612	-0.9586127410500734	-0.8472291269251938	Q3_clip_low_te_down
ENSMUSG00000000154.17	Slc22a18	protein_coding	chr7	143027473	143053071	+	8	80	99	21	39	-1.5618788876081149	-0.558490289359965	Q3_clip_low_te_down
ENSMUSG00000000167.15	Pih1d2	protein_coding	chr9	50528621	50536300	+	24	21	12	16	29	0.3116597594335354	-1.5784196548543843	other
ENSMUSG00000000168.11	Dlat	protein_coding	chr9	50545933	50571080	-	640	1292	632	1225	1162	-0.6756181705011431	-0.9543369881643498	Q3_clip_low_te_down
ENSMUSG00000000171.6	Sdhd	protein_coding	chr9	50507657	50515112	-	1175	1604	1466	915	1409	0.23842938469959385	-0.7519800855254876	other
ENSMUSG00000000182.10	Fgf23	protein_coding	chr6	127049865	127058371	+	0	8	1	8	22	-3.777607578663552	-3.523561956057013	Q3_clip_low_te_down
ENSMUSG00000000184.13	Ccnd2	protein_coding	chr6	127102125	127129156	-	823	400	143	763	930	0.18182339049596	-1.762741954535653	other
